component_id,manufacturers
2db6b421a8ffe91d,Maxim Electronics
2dfdec4829f37d12,Texas Instruments
2ed7d3e2e01a8982,Murata
2ee3fe7ee2128c0b,Panasonic
2fb278ae06e7364a,Panasonic
2fdfb69736af5a0c,Molex
2ffbf269b36e9b8d,NICHIA CORPORATION
3019ca99c20e6b65,Texas Instruments
307a4b70ddab2522,TRACO Power
324805e4da73c378,Murata
32dc15920124d525,Stackpole
330702c6dade0a89,Infineon
33a506fb210cc18e,Vishay
33f9a811637bd669,Samtec
34f1f6ec7463340b,Bel
353455274850e711,Johanson
361a7b9846806ae5,Microchip
36a6095caa19d0d5,NessCap Co Ltd
36d0b70f08fc0cf2,Vishay
373af17ce53e6274,YAGEO
37de5b310804f49d,Texas Instruments
3825b92b1cd0116c,Adesto Technologies
383a93f5147adf03,Everlight
3971db818d1ca316,Vishay
397762c9f9bac4bd,STMicroelectronics
39e0b4ff57882468,Stackpole Electronics Inc.
39fcc31b4099a690,TDK
3aa44d342ebdc3d6,Texas Instruments
3b6ae911753000a5,ON Semi
3d15fbd9c8554676,Texas Instruments
3d74c599139513f6,Linear Technologies
3d7f86f0c64ae1f1,Texas Instruments
3d861c949dc7c224,Texas Instruments
3f8f99548a75749b,Linear Technologies
3fe424baf6f897b1,Texas Instruments
400ebd0f99761c01,Vishay
40147def49d3407e,International Resistive
40c985340bf751c7,NDK
4165388de19c6f4c,Agilent Technologies
417451995cc446c1,Texas Instruments
41d6762473a4c998,Texas Instruments
41e88af215062b17,Richtek
42fe38e434c3b301,ON Semi
4336f67872d7bd04,TXC
437e1074dcc25e0e,ON Semi
442ca4d73f8f7596,Fairchild
44e66fe23ee91091,Molex
46630d38f8560eb6,Omron
479497c865fef5b0,Panasonic
485859db8ff6a2ae,Atmel
49dd48a27bebac63,Diodes
4b8d1f9af829b269,Copal Electronics Inc.
4c5977dec99559b0,Panasonic
4ca9c246fba5a762,Microchip Technology / Atmel
4cc3a91c9df3f9ef,Murata
4ce03fe8baed77e2,Vishay
4cf55db8f78fdb03,Microchip
4d076c91968bc627,Vishay
4d465f6c9e136405,Maxim Electronics
4ddb6d60342f3714,Maxim Electronics
4de836ba614db34b,Vishay
4e59893a6c50f773,Vishay
4ebab3efedff0cdb,Vishay
4eddd3531cff778b,ST Microelectronics
500a8e916e06400a,Memory Protection Devices
5110150ad2d53319,Texas Instruments
515aa3f3c9ac19c4,Texas Instruments
51b0a044bf30b8b8,TE
51c1827ec5964427,Future Technology Devices International
52ff782a86b7a3ce,YAGEO
5344adb98d407cdc,Fairchild
53974ec7c1e8fb40,Cliff Electronic Components Limited
549ace37a2bcde49,Amphenol
55b41285acc1e554,Microchip
5700c4cfcfcc2820,Molex
57559eae45b4c6f9,Vishay
58e2608e7666f547,Micron
59797c258d2581c6,Amphenol ICC
5994ac39cc4e15d8,Skyworks
5b5021fd8307df4f,Texas Instruments
5c10c01a8e89bd00,SEIKO EPSON CORPORATION
5c673e799893aadd,TDK
5c76dd72176a0b2d,Epson
5cfb6af106f96ff9,Texas Instruments
5d5532f736a5899f,APEM Inc.
5d59aab648addfe4,Bourns
5d5af00aa0a23b0e,Alpha & Omega Semiconductor Inc.
5db605145634c956,Texas Instruments
5e37127766ae4316,Yamaichi
5fa8fd710d05f7fc,Susumu
5fd686bc68a34e25,Cornell Dubilier
607081a5d7727608,Texas Instruments
61eabf5986fd7f82,Molex Inc.
62fd4eb424a9a223,Texas Instruments
63a669b8f57b3c7f,Molex
647a8d9b927bb9ee,Philips
64d50f0ed94ed0c4,Linear Technologies
6652ab30278bd670,C&K
68370eec34638349,Panasonic Insdustrial Devices
68a5d9c65ec7d2ba,Linear Technologies
69319b46a70f664a,YAGEO
6952e146ea1beaa2,Coilcraft
69e4195ec26619db,YAGEO
6a1977f9c2881d62,Xicon
6a5523884066983d,CUI
